date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:11	113/113	---M--	200	added ('OK')	text/plain	etag:%22a9c814ed8c22d21:0%22	https://www.megastudy.net/robots.txt		(from )
00:15:12	335104/335104	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Mar%202025%2015:15:11%20GMT	https://www.megastudy.net/	C:/My%20Web%20Sites/megastudy/www.megastudy.net/index.html	(from )
00:15:12	99985/99985	---M-Z	200	added ('OK')	text/css	etag:%2205d77399386db1:0%22	https://www.megastudy.net/common/css/style.css?dt=2025-03-24	C:/My%20Web%20Sites/megastudy/www.megastudy.net/common/css/style3948.css	(from https://www.megastudy.net/)
00:15:12	2740/2740	---M--	200	added ('OK')	image/png	etag:%224ff52ad9:ab4%22	http://img.megastudy.net/common/mega_57.png	C:/My%20Web%20Sites/megastudy/img.megastudy.net/common/mega_57.png	(from https://www.megastudy.net/)
00:15:12	3495/3495	---M--	200	added ('OK')	image/png	etag:%224ff52aed:da7%22	http://img.megastudy.net/common/mega_72.png	C:/My%20Web%20Sites/megastudy/img.megastudy.net/common/mega_72.png	(from https://www.megastudy.net/)
00:15:12	6069/6069	---M--	200	added ('OK')	image/png	etag:%224ff52b06:17b5%22	http://img.megastudy.net/common/mega_114.png	C:/My%20Web%20Sites/megastudy/img.megastudy.net/common/mega_114.png	(from https://www.megastudy.net/)
00:15:13	50407/50407	---M-Z	200	added ('OK')	text/css	etag:%2207245f5547bdb1:0%22	https://www.megastudy.net/Common/css/board_2011.css	C:/My%20Web%20Sites/megastudy/www.megastudy.net/Common/css/board_2011.css	(from https://www.megastudy.net/)
00:15:13	219642/219642	---M-Z	200	added ('OK')	application/javascript	etag:%2280c8a1136dd6da1:0%22	https://www.megastudy.net/Common/js/lecture.js?v=20240627	C:/My%20Web%20Sites/megastudy/www.megastudy.net/Common/js/lecture4e3d.js	(from https://www.megastudy.net/)
00:15:13	1106/1106	---M--	200	added ('OK')	image/gif	etag:%22562ed08a:452%22	https://img.megastudy.net/main/2015/bg_study1.gif	C:/My%20Web%20Sites/megastudy/img.megastudy.net/main/2015/bg_study1.gif	(from https://www.megastudy.net/)
00:15:14	1114/1114	---M--	200	added ('OK')	image/gif	etag:%225b863c30:45a%22	http://img.megastudy.net/main/2018_v2/bt_topRightPrev2.gif	C:/My%20Web%20Sites/megastudy/img.megastudy.net/main/2018_v2/bt_topRightPrev2.gif	(from https://www.megastudy.net/)
00:15:14	1114/1114	---M--	200	added ('OK')	image/gif	etag:%225b863c4f:45a%22	http://img.megastudy.net/main/2018_v2/bt_topRightNext2.gif	C:/My%20Web%20Sites/megastudy/img.megastudy.net/main/2018_v2/bt_topRightNext2.gif	(from https://www.megastudy.net/)
00:15:14	1110/1110	---M--	200	added ('OK')	image/gif	etag:%2258a14166:456%22	http://img.megastudy.net/Entinfo/exam/2018/ico_tit_arr.gif	C:/My%20Web%20Sites/megastudy/img.megastudy.net/Entinfo/exam/2018/ico_tit_arr.gif	(from https://www.megastudy.net/)
